IMF_Num,Time_Steps,Batch_Size,Hidden_Dim,LR,Best100_RMSE,Best100_MAE,Best100_R2
5,96,16,128,0.005,1.1607129033520576,0.8985022035684586,0.9527067729962483
5,96,32,64,0.001,1.152220966132835,0.8973807193131448,0.9533962492518102
5,96,32,64,0.005,0.9394829714478068,0.7520048947021961,0.9690167373023015
5,96,32,128,0.001,0.9286439965097366,0.6437744964754581,0.9696954181005633
5,96,32,128,0.005,1.1519789470868251,0.9672206668577192,0.9138797051670435
5,96,64,64,0.001,1.0530351822580213,0.9067743761017324,0.9610331276898822
5,96,64,64,0.005,1.101866067682041,0.9392774961007236,0.957261389101474
5,96,64,128,0.001,1.0241276663933507,0.8882505354621409,0.9631070404936095
5,96,64,128,0.005,0.8693771691759504,0.702512565081604,0.9734682567635143
5,96,128,64,0.001,1.360508993176896,1.1077327856914998,0.9349551944900604
5,96,128,64,0.005,1.0712067189433232,0.9025494848053754,0.959676672623374
5,96,128,128,0.001,1.0610050583105664,0.8834923622471096,0.960441055581245
5,96,128,128,0.005,0.940245376939628,0.7236243012173178,0.9689335091971445
6,12,16,64,0.001,0.9889932793076938,0.8007558339533806,0.9656650827881058
6,12,16,64,0.005,1.2934417409898324,0.9266581050946714,0.8621208806804809
6,12,16,128,0.001,0.9474338999180604,0.7155192576110363,0.9464736642179264
6,12,16,128,0.005,0.8776376662111025,0.7512026006901265,0.9729616720314627
6,12,32,64,0.001,0.9942817788187928,0.7744787959907055,0.9243478320563747
6,12,32,64,0.005,0.93111600324739,0.7830710922203363,0.969690378239673
6,12,32,128,0.001,1.0032041464800912,0.6165876213750839,0.9385562865503428
6,12,32,128,0.005,1.0582763314927424,0.9289790528364182,0.9273200550262276
6,12,64,64,0.001,0.8835352473399857,0.6737162293949129,0.9565442328741168
6,12,64,64,0.005,0.8828688049171693,0.6762301786377433,0.9566097647120313
6,12,64,128,0.001,0.8436101241415966,0.6543843016507627,0.9749911713016719
6,12,64,128,0.005,0.8561989280142699,0.6952465805187227,0.9742602799555592
6,12,128,64,0.001,0.9188927659941442,0.6714860144347847,0.9703527698613278
6,12,128,64,0.005,0.9238522507557438,0.7552419362690748,0.96997795024176
6,12,128,128,0.001,0.9300197214778986,0.7393371635507439,0.9518513652120986
6,12,128,128,0.005,1.0935164601718201,0.8262145208678245,0.907060810744674
6,24,16,64,0.001,0.9209875760748684,0.7873236000441315,0.9702327112098403
6,24,16,64,0.005,1.2292240996908346,1.0078018080676943,0.8532922808472768
6,24,16,128,0.001,0.9656951310284021,0.7227504120054246,0.9286354551622198
6,24,16,128,0.005,1.032912245019704,0.8375072874155045,0.9170769853789793
6,24,32,64,0.001,1.1236131919443808,0.8211824907665403,0.8774186241417027
6,24,32,64,0.005,0.8930240576307906,0.7246315120635032,0.9482461406838852
6,24,32,128,0.001,0.9544149950000139,0.6790950575788021,0.9302929145338603
6,24,32,128,0.005,0.8973432506493928,0.6884903972597121,0.9477443054208744
6,24,64,64,0.001,1.3006398992690704,1.0246622831404206,0.8357501514369813
6,24,64,64,0.005,0.9946499877534283,0.7736734514727592,0.9231066479754374
6,24,64,128,0.001,0.9756301123293816,0.8511492182106379,0.9665957188970501
6,24,64,128,0.005,1.0086465499546384,0.7685381098361016,0.9209273588623323
6,24,128,64,0.001,0.9374380175211047,0.7389715613467172,0.954081486955699
6,24,128,64,0.005,1.0844155296340372,0.9028116164207458,0.9586043943367201
6,24,128,128,0.001,1.1283353822672342,0.8720032878271788,0.8763861176563222
6,24,128,128,0.005,0.967888505827263,0.8234351890425684,0.9671237403108334
6,48,16,64,0.001,0.8109796512572268,0.6151263092434405,0.9768884166191049
6,48,16,64,0.005,0.9649967464456287,0.7758050623984336,0.942382826834127
6,48,16,128,0.001,0.8971429088195194,0.7660176130163672,0.9718618077719634
6,48,16,128,0.005,1.0107660432479155,0.8241540445880889,0.9367877083116601
6,48,32,64,0.001,1.1172351033737584,0.9025513926929534,0.8788063185377514
6,48,32,64,0.005,1.0298331149119415,0.8274002073928117,0.9627618441711949
6,48,32,128,0.001,0.9941753820490108,0.8554113226423263,0.9499767634944
6,48,32,128,0.005,0.8258468555501315,0.647039121957779,0.9478082984627559
